DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20171114,1.18,1.67,1.18,1.67,107326000,0,0,0
20171115,1.68,1.74,1.54,1.67,64150700,0,0,0
20171116,1.67,1.84,1.57,1.65,64675200,0,0,0
20171117,1.66,1.82,1.60,1.75,50782500,0,0,0
20171118,1.74,1.98,1.66,1.93,52951400,0,0,0
20171119,1.92,2.03,1.77,1.88,55081600,0,0,0
20171120,1.89,2.04,1.83,1.99,55477200,0,0,0
20171121,2.00,2.11,1.85,1.90,56022900,0,0,0
20171122,1.91,1.98,1.79,1.89,44297600,0,0,0
20171123,1.89,1.98,1.85,1.89,42235000,0,0,0
20171124,1.89,1.91,1.73,1.88,44111800,0,0,0
20171125,1.88,2.06,1.79,2.05,48591800,0,0,0
20171126,2.05,2.66,1.94,2.46,116846000,0,0,0
20171127,2.46,2.94,2.38,2.86,126962000,0,0,0
20171128,2.86,3.07,2.75,2.75,98904100,0,0,0
20171129,2.79,3.33,2.54,2.71,133125000,0,0,0
20171130,2.76,2.99,2.54,2.85,92059600,0,0,0
20171201,2.83,3.24,2.73,3.24,74402000,0,0,0
20171202,3.24,3.99,3.21,3.92,163479000,0,0,0
20171203,3.94,4.12,3.44,3.61,132280000,0,0,0
20171204,3.61,4.13,3.50,4.03,163900000,0,0,0
20171205,4.06,4.47,3.69,4.24,181418000,0,0,0
20171206,4.27,5.10,4.20,4.55,200253000,0,0,0
20171207,4.52,4.52,3.56,3.99,183666000,0,0,0
20171208,3.99,4.59,3.74,4.29,149508000,0,0,0
20171209,4.28,4.68,3.80,4.06,133142000,0,0,0
20171210,4.07,4.07,3.55,3.77,98890000,0,0,0
20171211,3.77,4.48,3.73,4.36,153155000,0,0,0
20171212,4.38,5.73,4.26,5.30,266450000,0,0,0
20171213,5.32,7.30,5.05,7.30,663821000,0,0,0
20171214,7.24,8.74,7.17,8.40,613600000,0,0,0
20171215,8.41,8.41,6.88,8.13,640458000,0,0,0
20171216,8.14,9.26,8.13,8.61,540462000,0,0,0
20171217,8.60,8.98,8.21,8.22,361464000,0,0,0
20171218,8.22,9.39,7.67,9.21,577650000,0,0,0
20171219,9.24,12.90,9.23,12.38,1688240000,0,0,0
20171220,12.45,12.60,10.37,11.99,775977000,0,0,0
20171221,11.96,13.18,10.08,10.60,349756000,0,0,0
20171222,10.66,10.67,6.69,7.84,612398000,0,0,0
20171223,7.97,9.48,7.95,8.48,233174000,0,0,0
20171224,8.51,8.56,7.26,8.14,192175000,0,0,0
20171225,8.20,9.81,7.92,9.77,337893000,0,0,0
20171226,9.77,10.10,9.63,9.82,336595000,0,0,0
20171227,9.83,10.81,9.79,10.56,530216000,0,0,0
20171228,10.54,10.57,8.41,9.57,478886000,0,0,0
20171229,9.60,9.87,9.22,9.44,448090000,0,0,0
20171230,9.46,9.50,8.35,8.56,499400000,0,0,0
20171231,8.51,8.97,8.44,8.77,312308000,0,0,0
20180101,8.77,9.11,8.51,8.84,331073000,0,0,0
20180102,8.91,9.78,8.91,9.33,552189000,0,0,0
20180103,9.32,10.23,8.85,10.23,529459000,0,0,0
20180104,10.45,11.97,10.29,11.28,1204970000,0,0,0
20180105,11.23,11.51,10.40,10.84,618755000,0,0,0
20180106,10.81,12.58,10.46,12.58,688819000,0,0,0
20180107,12.77,13.37,12.09,12.52,781497000,0,0,0
20180108,12.51,12.58,8.44,9.69,697175000,0,0,0
20180109,9.67,9.76,8.99,9.33,546937000,0,0,0
20180110,9.33,11.63,8.68,11.34,1211790000,0,0,0
20180111,11.33,12.42,9.31,11.35,1161850000,0,0,0
20180112,11.40,15.34,10.78,13.75,2449370000,0,0,0
20180113,13.92,18.71,13.54,16.23,3379130000,0,0,0
20180114,16.17,16.17,13.31,13.44,1162420000,0,0,0
20180115,13.42,14.83,12.92,12.94,806381000,0,0,0
20180116,12.96,13.04,8.60,10.28,1599730000,0,0,0
20180117,10.20,10.57,7.67,10.19,1625250000,0,0,0
20180118,10.20,11.27,9.89,10.51,1266300000,0,0,0
20180119,10.38,11.77,9.92,11.18,845596000,0,0,0
20180120,11.25,15.76,11.25,15.52,2777450000,0,0,0
20180121,15.66,15.66,12.39,13.44,2887800000,0,0,0
20180122,13.54,15.18,12.85,13.66,2902200000,0,0,0
20180123,13.57,13.81,11.87,12.97,1614680000,0,0,0
20180124,13.01,13.86,12.63,13.83,1050800000,0,0,0
20180125,13.96,14.93,13.70,14.31,1546860000,0,0,0
20180126,14.28,14.73,13.22,14.34,1444040000,0,0,0
